Ind1 Ind2 Ind3 Ind4 Ind5 Ind6 Ind7 Ind8 Ind9 Ind10
4-8538 0 45 51 18 15 0 15 90 0 0
4-8884 0 7 6 57 20 21 54 57 0 33
4-9245 0 98 70 52 0 87 84 10 0 23
4-4553 0 34 12 53 29 36 86 77 0 26
4-3046 0 100 80 93 42 5 63 38 0 0
4-3884 0 48 36 96 68 66 98 1 0 75
4-7027 0 19 82 1 16 37 53 27 0 2
4-9114 0 60 50 24 0 13 0 0 0 96
4-8323 0 47 40 71 61 88 0 57 0 74
4-1112 0 56 36 86 0 39 26 14 0 87
4-8075 0 41 0 62 63 54 75 0 0 13
4-4410 0 8 0 80 3 56 50 48 0 36
4-7944 0 56 5 0 25 23 84 67 0 76
5-5831 0 47 96 74 8 21 2 86 0 25
5-6394 0 73 53 89 84 0 99 7 0 27
5-2094 0 80 27 45 51 96 24 45 0 7
5-8263 0 77 23 67 47 69 56 10 0 77
5-5106 0 18 65 77 28 72 64 19 0 0
5-9871 0 87 11 16 83 89 44 34 0 0
5-5662 0 24 55 95 12 23 82 6 0 79
5-9776 0 81 2 0 12 19 59 91 0 16
5-9577 0 11 80 80 99 0 1 69 0 63
5-4660 0 38 88 71 87 89 0 98 0 26
5-8142 0 51 5 0 74 73 40 49 0 53
5-4648 0 48 43 55 83 48 0 19 0 32
5-4923 0 92 62 35 17 97 0 16 0 65
5-3306 0 13 83 53 21 29 26 42 0 46
5-3721 0 49 77 0 44 3 6 66 0 24
5-9065 0 66 52 10 20 0 99 68 0 87
5-9662 0 45 80 100 30 64 95 42 0 0
5-6930 0 82 89 59 92 23 67 42 0 65
5-1439 0 37 92 0 33 47 68 91 0 71
5-3855 0 11 28 98 43 2 90 13 0 14
5-2192 0 6 81 70 15 6 86 10 0 8
5-9972 0 27 46 46 64 72 30 38 0 32
5-6017 0 32 25 50 4 16 96 84 0 19
5-5883 0 43 10 30 39 0 47 85 0 35
5-7088 0 70 16 50 7 16 70 56 0 55
5-9162 0 99 2 5 69 94 94 54 0 14
5-1236 0 57 1 66 96 46 28 94 0 30
5-5623 0 83 100 95 97 70 48 32 0 17
5-3369 0 94 64 66 73 70 69 59 0 15
5-1186 0 39 62 10 38 72 42 78 0 75
